Index	UTC	X	Y	Z	Lat	Lon	Alt (HAE)
Unit	time date	m	m	m	°	°	m
Count	425	425	425	425	425	425	425
Age	0	0	0	0	0	0	0
163	11:52:53.000 06/15/2018	4155586.95	674762.25	4775586.39	48.792390	9.222892	274.10
164	11:52:54.000 06/15/2018	4155588.63	674764.95	4775584.29	48.792363	9.222925	273.90
165	11:52:55.000 06/15/2018	4155590.43	674767.56	4775582.23	48.792336	9.222956	273.80
166	11:52:56.000 06/15/2018	4155592.27	674770.12	4775580.16	48.792308	9.222987	273.70
167	11:52:57.000 06/15/2018	4155594.13	674772.53	4775578.08	48.792281	9.223015	273.60
168	11:52:58.000 06/15/2018	4155596.09	674774.92	4775575.91	48.792252	9.223043	273.50
169	11:52:59.000 06/15/2018	4155598.08	674777.43	4775573.70	48.792223	9.223072	273.40
170	11:53:00.000 06/15/2018	4155599.98	674779.91	4775571.58	48.792195	9.223101	273.30
171	11:53:01.000 06/15/2018	4155601.91	674782.27	4775569.45	48.792168	9.223129	273.20
172	11:53:02.000 06/15/2018	4155603.75	674784.53	4775567.41	48.792141	9.223155	273.10
173	11:53:03.000 06/15/2018	4155605.49	674786.96	4775565.43	48.792115	9.223184	273.00
174	11:53:04.000 06/15/2018	4155607.11	674789.79	4775563.63	48.792090	9.223219	273.00
175	11:53:05.000 06/15/2018	4155608.32	674793.09	4775562.26	48.792070	9.223260	273.10
176	11:53:06.000 06/15/2018	4155608.91	674796.74	4775561.37	48.792057	9.223308	273.20
177	11:53:07.000 06/15/2018	4155608.71	674800.47	4775561.02	48.792052	9.223359	273.20
178	11:53:08.000 06/15/2018	4155607.86	674804.09	4775561.24	48.792055	9.223409	273.20
179	11:53:09.000 06/15/2018	4155606.41	674807.45	4775562.02	48.792066	9.223457	273.20
180	11:53:10.000 06/15/2018	4155604.33	674810.35	4775563.42	48.792085	9.223501	273.20
181	11:53:11.000 06/15/2018	4155601.79	674812.80	4775565.14	48.792109	9.223539	273.10
182	11:53:12.000 06/15/2018	4155598.98	674814.84	4775567.15	48.792138	9.223573	273.00
183	11:53:13.000 06/15/2018	4155596.12	674816.45	4775569.52	48.792169	9.223601	273.10
184	11:53:14.000 06/15/2018	4155593.01	674817.50	4775571.66	48.792202	9.223621	272.80
185	11:53:15.000 06/15/2018	4155589.80	674816.98	4775574.12	48.792238	9.223621	272.50
186	11:53:16.000 06/15/2018	4155586.92	674816.12	4775576.98	48.792276	9.223616	272.70
187	11:53:17.000 06/15/2018	4155584.12	674814.58	4775579.76	48.792312	9.223602	272.80
188	11:53:18.000 06/15/2018	4155581.58	674812.56	4775582.24	48.792346	9.223580	272.80
189	11:53:19.000 06/15/2018	4155579.12	674810.24	4775584.70	48.792380	9.223554	272.80
190	11:53:20.000 06/15/2018	4155576.68	674807.70	4775586.89	48.792412	9.223525	272.60
191	11:53:21.000 06/15/2018	4155574.41	674804.93	4775588.84	48.792441	9.223493	272.30
192	11:53:22.000 06/15/2018	4155572.63	674801.84	4775590.68	48.792467	9.223455	272.20
193	11:53:23.000 06/15/2018	4155571.13	674798.48	4775592.45	48.792492	9.223414	272.20
194	11:53:24.000 06/15/2018	4155569.73	674795.06	4775594.13	48.792515	9.223371	272.20
195	11:53:25.000 06/15/2018	4155568.42	674791.52	4775595.77	48.792537	9.223326	272.20
196	11:53:26.000 06/15/2018	4155567.23	674787.88	4775597.45	48.792559	9.223280	272.30
197	11:53:27.000 06/15/2018	4155565.95	674784.23	4775599.20	48.792582	9.223233	272.40
198	11:53:28.000 06/15/2018	4155564.58	674780.60	4775600.89	48.792605	9.223188	272.40
199	11:53:29.000 06/15/2018	4155563.20	674777.04	4775602.71	48.792629	9.223143	272.50
200	11:53:30.000 06/15/2018	4155561.84	674773.45	4775604.52	48.792652	9.223098	272.60
201	11:53:31.000 06/15/2018	4155560.41	674770.00	4775606.52	48.792677	9.223055	272.80
202	11:53:32.000 06/15/2018	4155558.99	674766.59	4775608.35	48.792701	9.223012	272.90
203	11:53:33.000 06/15/2018	4155557.52	674763.34	4775610.07	48.792725	9.222971	272.90
204	11:53:34.000 06/15/2018	4155556.00	674760.23	4775611.70	48.792748	9.222933	272.80
205	11:53:35.000 06/15/2018	4155554.61	674757.13	4775613.46	48.792771	9.222895	272.90
206	11:53:36.000 06/15/2018	4155553.21	674753.97	4775615.25	48.792795	9.222855	273.00
207	11:53:37.000 06/15/2018	4155551.46	674750.91	4775617.05	48.792820	9.222818	272.90
208	11:53:38.000 06/15/2018	4155549.86	674748.05	4775619.11	48.792846	9.222783	273.10
209	11:53:39.000 06/15/2018	4155548.45	674745.08	4775621.28	48.792871	9.222746	273.50
210	11:53:40.000 06/15/2018	4155546.88	674742.01	4775623.06	48.792896	9.222708	273.50
211	11:53:41.000 06/15/2018	4155545.33	674738.87	4775624.31	48.792917	9.222669	273.10
212	11:53:42.000 06/15/2018	4155544.43	674735.34	4775625.32	48.792933	9.222624	272.90
213	11:53:43.000 06/15/2018	4155544.16	674731.66	4775625.95	48.792942	9.222575	272.80
214	11:53:44.000 06/15/2018	4155544.43	674728.02	4775625.95	48.792944	9.222525	272.60
215	11:53:45.000 06/15/2018	4155545.69	674724.61	4775625.34	48.792936	9.222477	272.60
216	11:53:46.000 06/15/2018	4155547.59	674721.73	4775624.11	48.792920	9.222434	272.60
217	11:53:47.000 06/15/2018	4155549.91	674719.59	4775622.13	48.792895	9.222400	272.40
