

0000000231	06/15/2018 13:53:54	 4155566.9155	 674728.6512	 4775604.6425
0000000232	06/15/2018 13:53:55	 4155568.6933	 674731.4630	 4775602.6570
0000000233	06/15/2018 13:53:56	 4155570.3749	 674734.3086	 4775600.7225
0000000234	06/15/2018 13:53:57	 4155571.9478	 674736.9777	 4775598.9497
0000000235	06/15/2018 13:53:58	 4155573.4775	 674739.5117	 4775597.2417
0000000236	06/15/2018 13:53:59	 4155574.8492	 674741.7013	 4775595.7882
0000000237	06/15/2018 13:54:00	 4155575.9158	 674743.3666	 4775594.6188
0000000238	06/15/2018 13:54:01	 4155576.6541	 674744.4888	 4775593.8104
0000000239	06/15/2018 13:54:02	 4155576.9621	 674744.9834	 4775593.4536
0000000240	06/15/2018 13:54:03	 4155577.0433	 674745.1034	 4775593.3751
0000000241	06/15/2018 13:54:04	 4155577.0465	 674745.1038	 4775593.3743
0000000242	06/15/2018 13:54:05	 4155577.0541	 674745.1008	 4775593.3830
0000000243	06/15/2018 13:54:06	 4155577.0585	 674745.1029	 4775593.3863
0000000244	06/15/2018 13:55:35	 4155577.0725	 674745.1034	 4775593.3919
