000036	Navigated	02/03/2020 14:41:37	 516337.5984	 5404549.9057	 253.5246	 9.0966	Fixed by GPS	-	-	Fixed by GPS
000037	Navigated	02/03/2020 14:41:38	 516334.2042	 5404552.7446	 253.7293	 9.0975	Fixed by GPS	-	-	Fixed by GPS
000038	Navigated	02/03/2020 14:41:39	 516330.8691	 5404555.6806	 253.5173	 9.0982	Fixed by GPS	-	-	Fixed by GPS
000039	Navigated	02/03/2020 14:41:40	 516327.4769	 5404558.6222	 253.4929	 9.0951	Fixed by GPS	-	-	Fixed by GPS
000040	Navigated	02/03/2020 14:41:41	 516324.1102	 5404561.5673	 253.4674	 9.0895	Fixed by GPS	-	-	Fixed by GPS
000041	Navigated	02/03/2020 14:41:42	 516320.8877	 5404564.3718	 253.3582	 9.0904	Fixed by GPS	-	-	Fixed by GPS
000042	Navigated	02/03/2020 14:41:43	 516318.2713	 5404566.6831	 253.3619	 9.0918	Fixed by GPS	-	-	Fixed by GPS
000043	Navigated	02/03/2020 14:41:44	 516316.6187	 5404568.1162	 253.4163	 9.0911	Fixed by GPS	-	-	Fixed by GPS
000044	Navigated	02/03/2020 14:41:45	 516315.8581	 5404568.7784	 253.4337	 9.0948	Fixed by GPS	-	-	Fixed by GPS
000045	Navigated	02/03/2020 14:41:46	 516315.7125	 5404568.9021	 253.4303	 9.0915	Fixed by GPS	-	-	Fixed by GPS
000046	Navigated	02/03/2020 14:41:47	 516315.7092	 5404568.9085	 253.4246	 9.0911	Fixed by GPS	-	-	Fixed by GPS
000047	Navigated	02/03/2020 14:41:48	 516316.2582	 5404569.2662	 251.9302	 8.7379	Fixed by GPS	-	-	Fixed by GPS
000048	Navigated	02/03/2020 14:44:00	 516444.4507	 5404456.8095	 258.3723	 6.0531	Fixed by GPS	-	-	Fixed by GPS
000049	Navigated	02/03/2020 14:44:01	 516444.4507	 5404456.8218	 258.3790	 6.0530	Fixed by GPS	-	-	Fixed by GPS
000050	Navigated	02/03/2020 14:44:02	 516444.4563	 5404456.8241	 258.3855	 6.0513	Fixed by GPS	-	-	Fixed by GPS
000051	Navigated	02/03/2020 14:44:03	 516444.6248	 5404457.0093	 258.3730	 6.0520	Fixed by GPS	-	-	Fixed by GPS
000052	Navigated	02/03/2020 14:44:04	 516445.2732	 5404457.7634	 258.3806	 6.0504	Fixed by GPS	-	-	Fixed by GPS
000053	Navigated	02/03/2020 14:44:05	 516446.3765	 5404459.1987	 258.3610	 6.0457	Fixed by GPS	-	-	Fixed by GPS
000054	Navigated	02/03/2020 14:44:06	 516447.7718	 5404461.4953	 258.2990	 6.0483	Fixed by GPS	-	-	Fixed by GPS
000055	Navigated	02/03/2020 14:44:07	 516448.9555	 5404464.3007	 258.3313	 6.0430	Fixed by GPS	-	-	Fixed by GPS
000056	Navigated	02/03/2020 14:44:08	 516449.7522	 5404467.3910	 258.3020	 6.0409	Fixed by GPS	-	-	Fixed by GPS
000057	Navigated	02/03/2020 14:44:09	 516450.0587	 5404470.6676	 258.2704	 6.0377	Fixed by GPS	-	-	Fixed by GPS
000058	Navigated	02/03/2020 14:44:10	 516449.1875	 5404473.2781	 260.6557	 6.3684	Fixed by GPS	-	-	Fixed by GPS
000059	Navigated	02/03/2020 14:44:11	 516448.4012	 5404476.6955	 260.6833	 6.3668	Fixed by GPS	-	-	Fixed by GPS
000060	Navigated	02/03/2020 14:44:12	 516445.5542	 5404479.1262	 265.0749	 7.6832	Fixed by GPS	-	-	Fixed by GPS
000061	Navigated	02/03/2020 14:44:13	 516443.5699	 5404482.1288	 265.2907	 7.8890	Fixed by GPS	-	-	Fixed by GPS
000062	Navigated	02/03/2020 14:44:14	 516441.1907	 5404484.8639	 265.2682	 7.8887	Fixed by GPS	-	-	Fixed by GPS
000063	Navigated	02/03/2020 14:44:15	 516438.5995	 5404487.4497	 264.7082	 7.5046	Fixed by GPS	-	-	Fixed by GPS
000064	Navigated	02/03/2020 14:44:16	 516435.5412	 5404489.3304	 264.5411	 7.5130	Fixed by GPS	-	-	Fixed by GPS
000065	Navigated	02/03/2020 14:44:17	 516432.1815	 5404490.6017	 264.5879	 7.5087	Fixed by GPS	-	-	Fixed by GPS
000066	Navigated	02/03/2020 14:44:18	 516428.7109	 5404491.3715	 264.5008	 7.5104	Fixed by GPS	-	-	Fixed by GPS
000067	Navigated	02/03/2020 14:44:19	 516425.0791	 5404491.4147	 264.7493	 7.4929	Fixed by GPS	-	-	Fixed by GPS
000068	Navigated	02/03/2020 14:44:20	 516421.6282	 5404491.0197	 264.6603	 7.4947	Fixed by GPS	-	-	Fixed by GPS
000069	Navigated	02/03/2020 14:44:21	 516418.2684	 5404490.0261	 264.6908	 7.4896	Fixed by GPS	-	-	Fixed by GPS
000070	Navigated	02/03/2020 14:44:22	 516415.1626	 5404488.4972	 264.7010	 7.4950	Fixed by GPS	-	-	Fixed by GPS
000071	Navigated	02/03/2020 14:44:23	 516412.3643	 5404486.4837	 264.6936	 7.4955	Fixed by GPS	-	-	Fixed by GPS
000072	Navigated	02/03/2020 14:44:24	 516409.9404	 5404484.0582	 264.7332	 7.4953	Fixed by GPS	-	-	Fixed by GPS
000073	Navigated	02/03/2020 14:44:25	 516407.9382	 5404481.2486	 264.7330	 7.4953	Fixed by GPS	-	-	Fixed by GPS
000074	Navigated	02/03/2020 14:44:26	 516406.7654	 5404478.3346	 263.6190	 7.0538	Fixed by GPS	-	-	Fixed by GPS
000075	Navigated	02/03/2020 14:44:27	 516406.6478	 5404474.7590	 260.3698	 6.8199	Fixed by GPS	-	-	Fixed by GPS
000076	Navigated	02/03/2020 14:44:28	 516406.3927	 5404471.3685	 259.7347	 6.6212	Fixed by GPS	-	-	Fixed by GPS
000077	Navigated	02/03/2020 14:44:29	 516406.5279	 5404467.8588	 259.7436	 6.6213	Fixed by GPS	-	-	Fixed by GPS
000078	Navigated	02/03/2020 14:44:30	 516407.2157	 5404464.3991	 259.7157	 6.6233	Fixed by GPS	-	-	Fixed by GPS
000079	Navigated	02/03/2020 14:44:31	 516408.4249	 5404461.0619	 259.7215	 6.6239	Fixed by GPS	-	-	Fixed by GPS
000080	Navigated	02/03/2020 14:44:32	 516409.1660	 5404458.1302	 257.1479	 6.9799	Fixed by GPS	-	-	Fixed by GPS
000081	Navigated	02/03/2020 14:44:33	 516410.7749	 5404455.9659	 256.9979	 6.9807	Fixed by GPS	-	-	Fixed by GPS
000082	Navigated	02/03/2020 14:44:34	 516413.3567	 5404453.4971	 256.9867	 6.9681	Fixed by GPS	-	-	Fixed by GPS
000083	Navigated	02/03/2020 14:44:35	 516416.1814	 5404451.4001	 257.0388	 6.9650	Fixed by GPS	-	-	Fixed by GPS
000084	Navigated	02/03/2020 14:44:36	 516419.7713	 5404449.8460	 258.0299	 6.6981	Fixed by GPS	-	-	Fixed by GPS
000085	Navigated	02/03/2020 14:44:37	 516423.0513	 5404447.9473	 257.1162	 6.9631	Fixed by GPS	-	-	Fixed by GPS
000086	Navigated	02/03/2020 14:44:38	 516426.3551	 5404447.1456	 257.1296	 6.9606	Fixed by GPS	-	-	Fixed by GPS
000087	Navigated	02/03/2020 14:44:39	 516430.8217	 5404446.7625	 260.0384	 6.6365	Fixed by GPS	-	-	Fixed by GPS
000088	Navigated	02/03/2020 14:44:40	 516434.0877	 5404447.7263	 260.7136	 6.3557	Fixed by GPS	-	-	Fixed by GPS
000089	Navigated	02/03/2020 14:44:41	 516437.1750	 5404448.7195	 261.0739	 6.4006	Fixed by GPS	-	-	Fixed by GPS
000090	Navigated	02/03/2020 14:44:42	 516439.3627	 5404450.0175	 260.9503	 6.3872	Fixed by GPS	-	-	Fixed by GPS
000091	Navigated	02/03/2020 14:44:43	 516440.9468	 5404451.2854	 260.6962	 6.3494	Fixed by GPS	-	-	Fixed by GPS
000092	Navigated	02/03/2020 14:44:44	 516442.1647	 5404452.4626	 260.5830	 6.3382	Fixed by GPS	-	-	Fixed by GPS
000093	Navigated	02/03/2020 14:44:45	 516443.0374	 5404453.3433	 260.5929	 6.3389	Fixed by GPS	-	-	Fixed by GPS
000094	Navigated	02/03/2020 14:44:46	 516443.4577	 5404453.8042	 260.6289	 6.3431	Fixed by GPS	-	-	Fixed by GPS
000095	Navigated	02/03/2020 14:44:47	 516443.5574	 5404453.8918	 260.6636	 6.3432	Fixed by GPS	-	-	Fixed by GPS
000096	Navigated	02/03/2020 14:44:48	 516443.6497	 5404454.0363	 260.2423	 6.2070	Fixed by GPS	-	-	Fixed by GPS
000097	Navigated	02/03/2020 14:45:25	 516444.1683	 5404454.7127	 258.3507	 6.0174	Fixed by GPS	-	-	Fixed by GPS
000098	Navigated	02/03/2020 14:45:26	 516444.1746	 5404454.7203	 258.3459	 6.0161	Fixed by GPS	-	-	Fixed by GPS
000099	Navigated	02/03/2020 14:45:27	 516444.3964	 5404454.9513	 258.3525	 6.0165	Fixed by GPS	-	-	Fixed by GPS
000100	Navigated	02/03/2020 14:45:28	 516445.2399	 5404455.9058	 258.3732	 6.0153	Fixed by GPS	-	-	Fixed by GPS
000101	Navigated	02/03/2020 14:45:29	 516446.5789	 5404457.6648	 258.4027	 6.0137	Fixed by GPS	-	-	Fixed by GPS
000102	Navigated	02/03/2020 14:45:30	 516448.0806	 5404459.9160	 258.3886	 6.0143	Fixed by GPS	-	-	Fixed by GPS
000103	Navigated	02/03/2020 14:45:31	 516449.5190	 5404462.6566	 258.3931	 6.0136	Fixed by GPS	-	-	Fixed by GPS
000104	Navigated	02/03/2020 14:45:32	 516450.6746	 5404465.5590	 258.3595	 6.0161	Fixed by GPS	-	-	Fixed by GPS
000105	Navigated	02/03/2020 14:45:33	 516451.4780	 5404468.6725	 258.3660	 6.0106	Fixed by GPS	-	-	Fixed by GPS
000106	Navigated	02/03/2020 14:45:34	 516451.9669	 5404472.0050	 258.3332	 6.0147	Fixed by GPS	-	-	Fixed by GPS
000107	Navigated	02/03/2020 14:45:35	 516451.4076	 5404474.6988	 260.7620	 6.5007	Fixed by GPS	-	-	Fixed by GPS
000108	Navigated	02/03/2020 14:45:36	 516450.7205	 5404478.1118	 261.5472	 6.7103	Fixed by GPS	-	-	Fixed by GPS
000109	Navigated	02/03/2020 14:45:37	 516449.5607	 5404481.4569	 262.4812	 6.9788	Fixed by GPS	-	-	Fixed by GPS
000110	Navigated	02/03/2020 14:45:38	 516446.9635	 5404484.1288	 265.7562	 7.9783	Fixed by GPS	-	-	Fixed by GPS
000111	Navigated	02/03/2020 14:45:39	 516445.2557	 5404487.3988	 265.6628	 7.9069	Fixed by GPS	-	-	Fixed by GPS
000112	Navigated	02/03/2020 14:45:40	 516443.1484	 5404490.4599	 265.4120	 7.6833	Fixed by GPS	-	-	Fixed by GPS
000113	Navigated	02/03/2020 14:45:41	 516440.6654	 5404493.1592	 265.3307	 7.6194	Fixed by GPS	-	-	Fixed by GPS
000114	Navigated	02/03/2020 14:45:42	 516437.8482	 5404495.4917	 265.0892	 7.4344	Fixed by GPS	-	-	Fixed by GPS
000115	Navigated	02/03/2020 14:45:43	 516434.7505	 5404497.3832	 264.8665	 7.4431	Fixed by GPS	-	-	Fixed by GPS
000116	Navigated	02/03/2020 14:45:44	 516431.3406	 5404498.7493	 264.8657	 7.4388	Fixed by GPS	-	-	Fixed by GPS
000117	Navigated	02/03/2020 14:45:45	 516427.7938	 5404499.6179	 264.8873	 7.4358	Fixed by GPS	-	-	Fixed by GPS
000118	Navigated	02/03/2020 14:45:46	 516424.7082	 5404500.4276	 263.1367	 7.0198	Fixed by GPS	-	-	Fixed by GPS
000119	Navigated	02/03/2020 14:45:47	 516422.2403	 5404501.2466	 259.3137	 6.6673	Fixed by GPS	-	-	Fixed by GPS
